Title,Upload Date,Module,Authors,Print Publication Date,DOI,ISBN,Sub-discipline,LINK,Site Module Name
Jewish Literature: A Very Short Introduction,Jul-21,Arts and Humanities,Stavans,2021,10.1093/actrade/9780190076979.001.0001,9780190076979,"null, Arts and Humanities, Literature, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190076979.001.0001/actrade-9780190076979,VSIO_SUBJECTS:AHU00010
Martyrdom: A Very Short Introduction,Sep-13,Arts and Humanities,Mitchell,2012,10.1093/actrade/9780199585236.001.0001,9780199585236,"null, Arts and Humanities, Religion, History of Religion",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199585236.001.0001/actrade-9780199585236,VSIO_SUBJECTS:AHU00010
Art History: A Very Short Introduction,Jan-20,Arts and Humanities,Arnold,2020,10.1093/actrade/9780198831808.001.0001,9780198831808,"Arts and Humanities, Art, History of Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198831808.001.0001/actrade-9780198831808,VSIO_SUBJECTS:AHU00010
Superstition: A Very Short Introduction,Jan-20,Arts and Humanities,Vyse,2020,10.1093/actrade/9780198819257.001.0001,9780198819257,"Arts and Humanities, Society and Culture, Popular Beliefs and Controversial Knowledge, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198819257.001.0001/actrade-9780198819257,VSIO_SUBJECTS:AHU00010
Art History: A Very Short Introduction,Sep-13,Arts and Humanities,Arnold,2004,10.1093/actrade/9780192801814.001.0001,9780192801814,"Arts and Humanities, Art, History of Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801814.001.0001/actrade-9780192801814,VSIO_SUBJECTS:AHU00010
War and Technology: A Very Short Introduction,Oct-16,Arts and Humanities,Roland,2016,10.1093/actrade/9780190605384.001.0001,9780190605384,"Arts and Humanities, History, Military History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190605384.001.0001/actrade-9780190605384,VSIO_SUBJECTS:AHU00010
Decadence: A Very Short Introduction,Apr-18,Arts and Humanities,Weir,2018,10.1093/actrade/9780190610227.001.0001,9780190610227,"Arts and Humanities, Literature, Literary Studies (19th Century), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190610227.001.0001/actrade-9780190610227,VSIO_SUBJECTS:AHU00010
Abolitionism,Aug-18,Arts and Humanities,Newman,2018,10.1093/actrade/9780190213220.001.0001,9780190213220,"Arts and Humanities, History, Slavery and Abolition of Slavery, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190213220.001.0001/actrade-9780190213220,VSIO_SUBJECTS:AHU00010
Barthes: A Very Short Introduction,Sep-13,Arts and Humanities,Culler,2002,10.1093/actrade/9780192801593.001.0001,9780192801593,"Arts and Humanities, Literature, Literary Theory and Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801593.001.0001/actrade-9780192801593,VSIO_SUBJECTS:AHU00010
Linguistics: A Very Short Introduction,Sep-13,Arts and Humanities,Matthews,2003,10.1093/actrade/9780192801487.001.0001,9780192801487,"Arts and Humanities, Linguistics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801487.001.0001/actrade-9780192801487,VSIO_SUBJECTS:AHU00010
William Shakespeare,Apr-15,Arts and Humanities,Wells,2015,10.1093/actrade/9780198718628.001.0001,9780198718628,"Arts and Humanities, Literature, Shakespeare Studies and Criticism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198718628.001.0001/actrade-9780198718628,VSIO_SUBJECTS:AHU00010
Shakespeare's Sonnets and Poems: A Very Short Introduction,Sep-17,Arts and Humanities,Post,2017,10.1093/actrade/9780198717577.001.0001,9780198717577,"Arts and Humanities, Literature, Shakespeare Studies and Criticism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198717577.001.0001/actrade-9780198717577,VSIO_SUBJECTS:AHU00010
Indian Cinema: A Very Short Introduction,Jul-16,Arts and Humanities,Rajadhyaksha,2016,10.1093/actrade/9780198723097.001.0001,9780198723097,"Arts and Humanities, Media Studies, Film, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198723097.001.0001/actrade-9780198723097,VSIO_SUBJECTS:AHU00010
Shakespeare's Comedies: A Very Short Introduction,Mar-16,Arts and Humanities,van Es,2016,10.1093/actrade/9780198723356.001.0001,9780198723356,"Arts and Humanities, Literature, Shakespeare Studies and Criticism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198723356.001.0001/actrade-9780198723356,VSIO_SUBJECTS:AHU00010
Pilgrimage: A Very Short Introduction,Apr-15,Arts and Humanities,Reader,2015,10.1093/actrade/9780198718222.001.0001,9780198718222,"Arts and Humanities, Society and Culture, Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198718222.001.0001/actrade-9780198718222,VSIO_SUBJECTS:AHU00010
Charles Dickens: A Very Short Introduction,Feb-19,Arts and Humanities,Hartley,2019,10.1093/actrade/9780198714996.001.0001,9780198714996,"Arts and Humanities, Literature, Literary Studies (19th Century), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198714996.001.0001/actrade-9780198714996,VSIO_SUBJECTS:AHU00010
Modern Italy: A Very Short Introduction,Oct-16,Arts and Humanities,Bull,2016,10.1093/actrade/9780198726517.001.0001,9780198726517,"Arts and Humanities, Society and Culture, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198726517.001.0001/actrade-9780198726517,VSIO_SUBJECTS:AHU00010
Translation: A Very Short Introduction,Oct-16,Arts and Humanities,Reynolds,2016,10.1093/actrade/9780198712114.001.0001,9780198712114,"Arts and Humanities, Linguistics, Translation and Interpretation, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198712114.001.0001/actrade-9780198712114,VSIO_SUBJECTS:AHU00010
Judaism: A Very Short Introduction,Sep-13,Arts and Humanities,Solomon,2000,10.1093/actrade/9780192853905.001.0001,9780192853905,"Arts and Humanities, Religion, Judaism and Jewish Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853905.001.0001/actrade-9780192853905,VSIO_SUBJECTS:AHU00010
Animal Rights: A Very Short Introduction,Sep-13,Arts and Humanities,DeGrazia,2002,10.1093/actrade/9780192853608.001.0001,9780192853608,"Arts and Humanities, Philosophy, Moral Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853608.001.0001/actrade-9780192853608,VSIO_SUBJECTS:AHU00010
Hinduism: A Very Short Introduction,Sep-13,Arts and Humanities,Knott,2000,10.1093/actrade/9780192853875.001.0001,9780192853875,"Arts and Humanities, Religion, Hinduism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853875.001.0001/actrade-9780192853875,VSIO_SUBJECTS:AHU00010
Documentary Film: A Very Short Introduction,Sep-13,Arts and Humanities,Aufderheide,2008,10.1093/actrade/9780195182705.001.0001,9780195182705,"Arts and Humanities, Media Studies, Film, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780195182705.001.0001/actrade-9780195182705,VSIO_SUBJECTS:AHU00010
Design: A Very Short Introduction,Sep-13,Arts and Humanities,Heskett,2005,10.1093/actrade/9780192854469.001.0001,9780192854469,"Arts and Humanities, Art, Industrial and Commercial Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854469.001.0001/actrade-9780192854469,VSIO_SUBJECTS:AHU00010
Marx: A Very Short Introduction,Sep-13,Arts and Humanities,Singer,2000,10.1093/actrade/9780192854056.001.0001,9780192854056,"Arts and Humanities, Philosophy, Social and Political Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854056.001.0001/actrade-9780192854056,VSIO_SUBJECTS:AHU00010
Classics: A Very Short Introduction,Sep-13,Arts and Humanities,"Beard, Henderson",2000,10.1093/actrade/9780192853851.001.0001,9780192853851,"Arts and Humanities, Classical Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853851.001.0001/actrade-9780192853851,VSIO_SUBJECTS:AHU00010
The Hebrew Bible as Literature,May-16,Arts and Humanities,Linafelt,2016,10.1093/actrade/9780195300079.001.0001,9780195300079,"Arts and Humanities, Religion, Religion and Art, Literature, and Music, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780195300079.001.0001/actrade-9780195300079,VSIO_SUBJECTS:AHU00010
The New Testament As Literature: A Very Short Introduction,Sep-13,Arts and Humanities,Keefer,2008,10.1093/actrade/9780195300208.001.0001,9780195300208,"Arts and Humanities, Religion, Religion and Art, Literature, and Music, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780195300208.001.0001/actrade-9780195300208,VSIO_SUBJECTS:AHU00010
The Koran: A Very Short Introduction,Sep-13,Arts and Humanities,Cook,2000,10.1093/actrade/9780192853448.001.0001,9780192853448,"Arts and Humanities, Religion, Islam, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853448.001.0001/actrade-9780192853448,VSIO_SUBJECTS:AHU00010
History: A Very Short Introduction,Sep-13,Arts and Humanities,Arnold,2000,10.1093/actrade/9780192853523.001.0001,9780192853523,"Arts and Humanities, History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853523.001.0001/actrade-9780192853523,VSIO_SUBJECTS:AHU00010
